1.	The immediate physical and medical attention given to an injured person is known as;_
A.	rabies._
B.	fracture._
C.	first aid materials._
D.	first aid._
D.	first aid._
2.	A collection of supplies and equipment for use in giving first aid is;_
A.	fracture._
B.	tourniquet._
C.	first aid materials._
D.	first aid._
C.	first aid materials._
3.	A crack or break in bone is called._
A.	Disable._
B.	Burnt._
C.	Fracture._
D.	Dislocation._
C.	Fracture._
4.	A tight band used in case of heavy bleeding is known as;_
A.	tourniquet._
B.	bandage._
C.	plaster._
D.	fracture._
A.	tourniquet._
5.	The disease caused by dog’s bite is termed as;_
A.	measles._
B.	rabies._
C.	fracture._
D.	polio._
B.	rabies._
6.	In case of nose bleeding one of the following is needed;_
A.	hot water._
B.	cold water._
C.	hot palp._
D.	palm wine._
B.	cold water._  
7.	In case of wound during accident, the injury sustained could be washed with;_
A.	acid._
B.	water only._
C.	water with anti-septic._
D.	hot water._
C.	water with anti-septic._
8.	The material from which cups, dishes, toiletries, water-bath, bricks and tiles are made is;_
A.	plastic._
B.	brass._
C.	ceramics._
D.	rubber._
C.	ceramics._
9.	The material that can absorb shock and vibration in machineries, buildings and electrical appliances can be;_
A.	plastic._
B.	ceramic._
C.	metal._
D.	rubber._
D.	rubber._
10.	 Rescue missioners may request the following tools EXCEPT;_
A.	ropes._
B.	lines._
C.	dogs._
D.	horses._
B.	lines._
11.	 An organization that can rescue people during accident may include the following EXCEPT;_
A.	Military._
B.	FRSC._
C.	FRCN._
D.	NPF._
C.	FRCN._
12.	A rescue team or squad is usually staffed by;_
A.	highly trained personnel._
B.	any trained personnel._
C.	skilled trained personnel._
D.	untrained personnel._
A.	highly trained personnel._
13.	The following are examples of non-ferrous metals EXCEPT;_
A.	copper._
B.	zinc._
C.	bronze._
D.	tin._
C.	bronze._
14.	Ferrous metals include the following EXCEPT;_
A.	cast iron._
B.	mild steel._
C.	duralumin._
D.	high-carbon steel._
C.	duralumin._
15.	The products of ceramic include the following EXCEPT;_
A.	sink._
B.	wash-hand basin._
C.	computer windscreen._
D.	floor tiles._
C.	computer windscreen._
16.	 The following are made from the same material EXCEPT;_
A.	cooking pots and flower vase._
B.	shoe soles and spoon handles._
C.	 kitchen-wares and toiletries._
D.	leader bags and computer case._
D.	leader bags and computer case._
17.	Which of the following statements is correct?_
A.	plates are made from ceramic._
B.	pots are made from plastics._
C.	nails are made from alloys._
D.	handles are made of ceramics._
B.	pots are made from plastics._
18.	A building material for making doors and windows cannot be;_
A.	glass._
B.	metal._
C.	wood._
D.	ceramic._
D.	ceramic._
19.	Alloys are mostly employed in the following EXCEPT;_ 
A.	making decorations._
B.	carving images._
C.	making coins and ornaments._
D.	making catapults._
D.	making catapults._
20.	A group of people that provide relief to victims of accidents are called._
A.	First aiders._
B.	Rescue squad._
C.	Doctors._
D.	Nurses._
B.	Rescue squad._
21.	Convert 1.44MB to kilobyte._
A.	100.24KB._
B.	1024.24KB._
C.	1474.56KB._
D.	1494.56KB._
D.	1494.56KB._
22.	The asterisk (*) sign used in basic programming for;_
A.	addition._
B.	division._
C.	exponential._
D.	multiplication._
D.	multiplication._
23.	The smallest unit of memory is called._
A.	bit._
B.	byte._
C.	nibble._
D.	kilobyte._
A.	bit._
24.	Which of the following is NOT a function of operating system?_
A.	error handling._
B.	resources allocations._
C.	system maintenance._
D.	time shearing._
A.	error handling._
25.	Internet explorer is an example of;_
A.	communication package._
B.	presentation package._
C.	database package._
D.	word processing package._
A.	communication package._
26.	What type of device is computer’s speaker?_
A.	Input._
B.	Output._
C.	Sound._
D.	Video._
B.	Output._
27.	Which of the following is an example of operating system?_
A.	i and ii only._
B.	i, ii and iii only._
C.	ii, iii and v only._
D.	i, iv and v only._
D.	i, iv and v only._
28.	Microsoft power point is a/an;_
A.	application software._
B.	documentation software._
C.	operating software._
D.	integration software._
A.	application software._
29.	The word processing package include the following EXCEPT;_
A.	Word perfect._
B.	Microsoft word._
C.	AmiPro._
D.	Spreadsheet._
D.	Spreadsheet._
30.	The command used to terminate basic program must always be;_
A.	CLS._
B.	END._
C.	GOTO._
D.	REM._
B.	END._
31.	The values of variable A, B and C are shown in the number line._
A.	10._
B.	20._
C.	30._
D.	40._
C.	30._
32.	The output of the program will look like;_
A.	Sum = 10._
B.	Sum = 20._
C.	Sum = 30._
D.	Sum = 40._
C.	Sum = 30._
33.	What is the number line that shows the arithmetic operation?_
A.	50._
B.	20._
C.	30._
D.	40._
A.	50._
34.	Which of the following statement is NOT on the program?_
A.	ASSIGNMENT Statement._
B.	DATA Statement._
C.	END Statement._
D.	LOOP Statement._
D.	LOOP Statement._
35.	Which of the statement numbers indicates CLEAR THE SCREEN?_
A.	50._ 
B.	10._
C.	30._
D.	40._
B.	10._
36.	How many terminal symbols are there in the diagram?_
A.	1._
B.	2._
C.	3._
D.	4._
B.	2._
37.	What is the last value in variable T?_
A.	10._
B.	1._
C.	2._
D.	5._
B.	1._
38.	The value written for S as indicated in the diagram is;_
A.	0._
B.	1._
C.	3._
D.	10._
B.	1._
39.	Application of spreadsheet package include the following EXCEPT;_
A.	booting of a system._
B.	cash flow analysis._
C.	draw a balance sheet._
D.	prepare a general ledger._
A.	booting of a system._
40.	A microphone is an example of;_
A.	booting device._
B.	input device._
C.	output device._
D.	processing device._
B.	input device._
